"name";"lat";"lng";"postal_code";"population"
"Bayport, NY";40.7444;-73.0542;"";7499
"Bay Shore, NY";40.7051;-73.243;"";67959
"Bayville, NY";40.9074;-73.5601;"";6745
"Bellmore, NY";40.6729;-73.5365;"";33525
"Bellport, NY";40.7733;-72.9469;"";9176
"Bethpage, NY";40.74;-73.4857;"";21438
"Blue Point, NY";40.7501;-73.0352;"";4463
"Bohemia, NY";40.7678;-73.1163;"";9998
"Brentwood, NY";40.7809;-73.2503;"";61568
"Brightwaters, NY";40.728;-73.2646;"";3092
"Brookhaven, NY";40.7843;-72.8921;"";3787
"Centereach, NY";40.8705;-73.0822;"";28823
"Centerport, NY";40.8929;-73.3754;"";5995
"Central Islip, NY";40.7866;-73.1961;"";35668
"Cold Spring Harbor, NY";40.8601;-73.4423;"";3243
"Commack, NY";40.843;-73.2799;"";29444
"Copiague, NY";40.6778;-73.3963;"";21688
"Coram, NY";40.885;-73.0069;"";30282
"Deer Park, NY";40.7591;-73.3257;"";27311
"East Islip, NY";40.7282;-73.1805;"";14168
"East Northport, NY";40.857;-73.3146;"";29743
"East Norwich, NY";40.8472;-73.5349;"";3856
"East Setauket, NY";40.9426;-73.1116;"";17136
"Farmingdale, NY";40.73205;-73.43905;"";33596
"Farmingville, NY";40.8366;-73.0413;"";17067
"Great River, NY";40.7297;-73.1607;"";1119
"Greenlawn, NY";40.8621;-73.3646;"";8953
"Holbrook, NY";40.7964;-73.0718;"";27243
"Holtsville, NY";40.813767;-73.043933;"";13132
"Huntington, NY";40.8676;-73.4102;"";42531
"Huntington Station, NY";40.8143;-73.3634;"";70005
"Melville, NY";40.7938;-73.411067;"";19061
"Islandia, NY";40.8067;-73.1709;"";3349
"Islip, NY";40.7348;-73.2221;"";14313
"Islip Terrace, NY";40.7548;-73.1827;"";9456
"Jericho, NY";40.79005;-73.53645;"";12015
"Kings Park, NY";40.8861;-73.2438;"";18357
"Lake Grove, NY";40.8567;-73.1168;"";12430
"Levittown, NY";40.7254;-73.5166;"";42654
"Lindenhurst, NY";40.6884;-73.3745;"";44701
"Massapequa, NY";40.6682;-73.4588;"";54929
"Massapequa Park, NY";40.6807;-73.4444;"";22951
"Medford, NY";40.8174;-72.9852;"";28654
"Miller Place, NY";40.9436;-72.9913;"";13030
"Mill Neck, NY";40.8857;-73.5526;"";750
"Mount Sinai, NY";40.9271;-73.0127;"";12478
"Nesconset, NY";40.8462;-73.1482;"";15347
"Northport, NY";40.9051;-73.3309;"";21375
"Oakdale, NY";40.7382;-73.1297;"";8686
